usia;kelompok
8         ;Kanak-kanak         
13        ;Remaja              
11        ;Kanak-kanak         
19        ;Pemuda              
78        ;Tua                 
39        ;Dewasa              
16        ;Remaja              
66        ;Tua                 
11        ;Kanak-kanak         
47        ;Dewasa              
68        ;Tua                 
56        ;Tua                 
53        ;Dewasa              
57        ;Tua                 
13        ;Remaja              
47        ;Dewasa              
11        ;Kanak-kanak         
25        ;Dewasa              
79        ;Tua                 
66        ;Tua                 
24        ;Dewasa              
46        ;Dewasa              
46        ;Dewasa              
55        ;Tua                 
34        ;Dewasa              
2         ;Balita              
22        ;Pemuda              
12        ;Remaja              
6         ;Kanak-kanak         
57        ;Tua                 
2         ;Balita              
1         ;Balita              
49        ;Dewasa              
42        ;Dewasa              
68        ;Tua                 
55        ;Tua                 
70        ;Tua                 
49        ;Dewasa              
53        ;Dewasa              
39        ;Dewasa              
58        ;Tua                 
30        ;Dewasa              
33        ;Dewasa              
23        ;Pemuda              
14        ;Remaja              
10        ;Kanak-kanak         
42        ;Dewasa              
68        ;Tua                 
6         ;Kanak-kanak         
37        ;Dewasa              
67        ;Tua                 
32        ;Dewasa              
25        ;Dewasa              
42        ;Dewasa              
28        ;Dewasa              
79        ;Tua                 
23        ;Pemuda              
42        ;Dewasa              
40        ;Dewasa              
33        ;Dewasa              
55        ;Tua                 
41        ;Dewasa              
80        ;Tua                 
28        ;Dewasa              
16        ;Remaja              
71        ;Tua                 
13        ;Remaja              
78        ;Tua                 
57        ;Tua                 
35        ;Dewasa              
67        ;Tua                 
67        ;Tua                 
28        ;Dewasa              
5         ;Balita              
19        ;Pemuda              
72        ;Tua                 
43        ;Dewasa              
38        ;Dewasa              
62        ;Tua                 
70        ;Tua                 
38        ;Dewasa              
5         ;Balita              
78        ;Tua                 
33        ;Dewasa              
67        ;Tua                 
61        ;Tua                 
45        ;Dewasa              
62        ;Tua                 
20        ;Pemuda              
27        ;Dewasa              
45        ;Dewasa              
17        ;Pemuda              
12        ;Remaja              
43        ;Dewasa              
62        ;Tua                 
48        ;Dewasa              
74        ;Tua                 
63        ;Tua                 
32        ;Dewasa              
18        ;Pemuda              
